ID,smiles,NR-AR,NR-AR-LBD,NR-AhR,NR-Aromatase,NR-ER,NR-ER-LBD,NR-PPAR-gamma,SR-ARE,SR-ATAD5,SR-HSE,SR-MMP,SR-p53,energy,homo,lumo,HLgap,charge_ave,charge_var,dipole,mass,vol,dens
2,CCN1C(=O)NC(c2ccccc2)C1=O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,-673.6284519977024,-0.28207366346954854,0.2447497527453502,0.5268234162148988,1.1842378929335002e-15,0.028261607898750696,1.8928348270201591,204.0898776347599,187.96800000000005,1.0857692672942194
3,CC[C@]1(O)CC[C@H]2[C@@H]3CCC4=CCCC[C@@H]4[C@H]3CC[C@@]21C,,,,,,,,0.0,,0.0,,,-840.7553882096533,-0.2785343386660638,0.333165987269924,0.6117003259359879,4.299495769892705e-15,0.00786834100343658,1.2906903466118276,288.24531565093054,297.72800000000007,0.9681498402935917
4,CCCN(CC)C(CC)C(=O)Nc1c(C)cccc1C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,-833.5600715111437,-0.24366199865313792,0.2675907569100686,0.5112527555632065,-2.2158201199810415e-15,0.014903288225053163,2.1162514900980627,276.22016353087025,291.8880000000001,0.9463224371364022
5,CC(O)(P(=O)(O)O)P(=O)(O)O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1270.0105163055682,-0.25617503516322354,0.3375611726032394,0.593736207766463,9.238224220696698e-15,0.21395947453214173,3.046257331011923,205.97452659166993,149.05600000000004,1.3818600163138006
6,CC(C)(C)OOC(C)(C)CCC(C)(C)OOC(C)(C)C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,-913.7255334753072,-0.28761038554183915,0.4696289064651115,0.7572392920069506,-1.912050764632214e-15,0.013738472311304099,0.6196791531059759,290.24570957410054,311.29600000000005,0.9323785386709129
7,O=S(=O)(Cl)c1ccccc1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1222.4775526541848,-0.30541717441872446,0.11777492590100523,0.4231921003197297,-4.588921835117314e-16,0.06003580613605672,4.995440632134507,175.96987825668992,133.66400000000004,1.3165091442474404
8,O=C(O)Cc1cc(I)c(Oc2ccc(O)c(I)c2)c(I)c1,0.0,,0.0,,1.0,,,1.0,0.0,1.0,0.0,1.0,-21460.44395760997,-0.23918280542340215,0.2171698603372076,0.45635266576060973,-5.512257317263902e-15,0.020836321528480396,3.2806739809957914,621.7634994683501,305.36000000000007,2.036165507821424
9,OC[C@H](O)[C@@H](O)[C@H](O)CO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,-563.1935581885266,-0.33279815772586147,0.4702880516944023,0.8030862094202638,-5.778206196344564e-16,0.03091548442735511,3.324715585683617,152.06847348460985,137.06400000000002,1.109470564733335
14,C=C(C)C(=O)OCCOC(=O)C(=C)C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-677.5252125605141,-0.31520466552689635,0.2394579759182742,0.5546626414451705,8.723180907769087e-16,0.022502091980698493,1.255131721088686,198.08920892949982,190.56000000000006,1.0395109620565688
15,Cl/C=C\C[N+]12CN3CN(CN(C3)C1)C2,0.0,0.0,0.0,,0.0,0.0,,1.0,0.0,0.0,0.0,,-1015.4145139059688,-0.4703780846622359,0.10394357587052024,0.5743216605327561,0.03333333333333718,0.014972974219828027,3.67362202202385,215.10634921539983,188.56800000000004,1.1407362289221914
16,O=C([O-])Cc1cccc2ccccc12,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-601.6013050834706,0.04700247428422286,0.32845039398527776,0.28144791970105487,-0.0434782608695675,0.025345635013829665,13.770225014124412,185.06025452920989,168.14400000000003,1.1006057577386636
17,CCCCCCCCCCOCC(O)CN,0.0,0.0,0.0,,0.0,,,,,0.0,,,-704.6584550574818,-0.3214092018827629,0.5053843692011188,0.8267935710838817,-2.509104035652854e-15,0.013103913101046841,0.9753883368490143,231.21982917823968,257.88000000000005,0.8966179198783916
18,CCN(CC)C(=O)c1cccnc1,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,,0.0,0.0,-563.5160094033297,-0.2860791398209211,0.2161344002427627,0.5022135400636838,6.969733432369038e-16,0.016120741546525905,3.1862892289678384,178.11061307964985,178.06400000000005,1.00026177711188
19,COc1cc(O)cc(O)c1,0.0,0.0,,0.0,,,0.0,,0.0,0.0,0.0,0.0,-487.9973555763982,-0.24433017950804953,0.2724444572577455,0.516774636765795,5.0268431392750144e-15,0.02379549639681325,2.417509668111501,140.04734411654988,126.49600000000002,1.1071286373999958
20,CCOC(=O)c1cccnc1,,,,,,,,0.0,,0.0,,,-505.89479275056607,-0.3021458728846293,0.20103991388439646,0.5031857867690257,3.502753642692369e-15,0.019494005220181014,1.1165167788289454,151.0633285336399,141.01600000000002,1.0712495641178297
21,CCOc1ccc(S(=O)(=O)O)c2cccnc12,0.0,0.0,,0.0,1.0,1.0,0.0,,0.0,,0.0,0.0,-1159.8400943760075,-0.25439968766758675,0.17715225746225471,0.43155194512984146,1.2450358204724969e-15,0.03795166667047119,3.1461487941783743,253.0408790116399,207.32000000000005,1.220532891238857
22,O=C(O)[C@H](O)c1ccccc1,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-525.388701341577,-0.2758888809106677,0.25492705057510806,0.5308159314857758,1.197872210779774e-15,0.024941644673481398,1.7944495182473703,152.0473441165499,136.20800000000003,1.116287913459928
24,CN[C@@H]1C[C@@H](c2ccc(Cl)c(Cl)c2)c2ccccc21,0.0,0.0,1.0,,0.0,0.0,0.0,,0.0,,,,-1570.131493718606,-0.27638693431203004,0.22007378203273767,0.49646071634476774,2.3673873319212897e-16,0.008295824215746374,3.9888039617978053,291.05815485188026,250.80000000000007,1.1605189587395541
25,CN1[C@H]2CC[C@@H]1C[C@H](OC(=O)c1cc(Cl)cc(Cl)c1)C2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,-1681.6428285309125,-0.29443477834304616,0.18365280035943132,0.4780875787024775,-1.7868589490926504e-15,0.014017712853750603,3.6221933958086137,313.06363415548026,264.76000000000005,1.182443096221031
26,CN(C)CCCN1c2ccccc2CCc2ccc(Cl)cc21,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,,0.0,-1286.1858655076308,-0.24082637792826347,0.24686218612524355,0.487688564053507,-1.3162310747500468e-15,0.008277951344688388,2.4665104545589043,314.15497643215036,295.85600000000005,1.0618509559790923
27,C#CCO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-188.27339696227125,-0.34491317155141504,0.381410562811608,0.7263237343630231,1.1796119636642288e-15,0.01872450651222962,1.333539368082469,56.026214748490005,60.45600000000002,0.9267271196984582
28,Nc1ccccc1S(=O)(=O)O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,-896.6258346317433,-0.2511316559048817,0.21804138029819642,0.4691730362030781,-3.4139358007223564e-15,0.06397307729712298,2.9278986500076156,173.01466426314994,138.46400000000003,1.2495281391780528
29,CC(O)CC(C)(C)O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-380.2892089660147,-0.31873750201860607,0.5041040057109301,0.8228415077295361,2.2734339663346955e-15,0.021681714530075207,3.1673549863100474,118.09937969036002,128.04000000000002,0.9223631653417682
30,CC(C)(C)CC(C)(C)N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-364.08748970701055,-0.31146744687016453,0.5421956345313512,0.8536630814015158,2.4167176196751175e-15,0.015695397243826115,1.49843632392511,129.15174961680003,155.60000000000005,0.8300240977943444
31,CC(=O)CC(C)C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-305.2767225520451,-0.31459126894490197,0.2993522435094445,0.6139435124543464,3.944213376957793e-16,0.014086805482624407,1.8190416186574283,100.08881500633002,114.46400000000003,0.8744130469521422
32,CCCC(C)=O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-266.69636525438375,-0.3157170079683547,0.2992621267677573,0.614979134736112,-3.3063829452117943e-15,0.014802760449058068,1.8448782972970885,86.07316494187002,98.50400000000002,0.8738037535721392
33,Nc1nc2ccccc2[nH]1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-427.122289805908,-0.23455164881085758,0.24714345493500706,0.48169510374586466,1.0547118733938987e-15,0.0363027559197444,2.8269526210124365,133.06399723889993,119.67200000000003,1.1119058529890025
34,Oc1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl,0.0,,1.0,,,0.0,,1.0,0.0,0.0,1.0,1.0,-2571.7154067803726,-0.3122193035184131,0.16025375122512558,0.4724730547435387,-3.1257048231754407e-15,0.014482103692676605,2.281358488125363,263.8470030618,167.61600000000004,1.5741158544637741
37,CC(=O)Nc1ccc(C)c(Cl)c1,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,-924.629157011052,-0.24143613537717096,0.24517048307640796,0.4866066184535789,-5.071700635219465e-15,0.02415776910450934,2.261784037018525,183.04509162829987,164.27200000000005,1.1142805324601868
38,CCCCNC(=S)NCCCC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-848.9834155778253,-0.20401045203781487,0.27409603103952096,0.47810648307733583,-2.8258645423662188e-15,0.014799755366862791,2.5578714153229862,188.13471982785978,198.60000000000005,0.9473047322651548
39,CCCCNC(=O)NCCCC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-529.6688864888891,-0.2963112750956164,0.33056949442993366,0.62688076952555,-1.5005358067199381e-15,0.021745657850024507,1.8905536516157486,172.15756327302978,189.92800000000005,0.9064359297893398
40,CC(C)N(c1ccccc1)C(C)C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-513.672367692631,-0.2115237572268348,0.2794144914813809,0.49093824870821573,2.71657696337968e-15,0.01111326781211105,1.0487558586539247,177.15174961679978,194.24800000000005,0.9119875088381849
41,CCc1cccc(C)c1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-343.64105145447127,-0.2631026606172197,0.27365978657333245,0.5367624471905521,-3.515706244646329e-16,0.006656436151552922,0.26916668172707137,120.09390038676003,133.00000000000003,0.9029616570433083
