ID,smiles,NR-AR,NR-AR-LBD,NR-AhR,NR-Aromatase,NR-ER,NR-ER-LBD,NR-PPAR-gamma,SR-ARE,SR-ATAD5,SR-HSE,SR-MMP,SR-p53,energy,homo,lumo,HLgap,charge_ave,charge_var,dipole,mass,vol,dens
2,CCN1C(=O)NC(c2ccccc2)C1=O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.9801830981157835,0.3131866546514359,0.3176313167587747,0.41158413374995345,0.3333333333333339,0.050972315343345606,0.030357526297847385,0.21989005702988573,0.24323214219035885,0.1123692419495292
3,CC[C@]1(O)CC[C@H]2[C@@H]3CCC4=CCCC[C@@H]4[C@H]3CC[C@@]21C,,,,,,,,0.0,,0.0,,,0.9743095929207422,0.3159940938040794,0.3845333107086709,0.4917745328062458,0.33333333333333603,0.014191250557753023,0.02070025634583752,0.32619185562434755,0.4139999751067299,0.07253260747347912
4,CCCN(CC)C(CC)C(=O)Nc1c(C)cccc1C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.9745624649649892,0.34365529421162433,0.33491444050470653,0.39687321301388573,0.33333333333333165,0.02687940154649726,0.03394071122658313,0.31100216225612115,0.404913931518614,0.06513986374646115
5,CC(O)(P(=O)(O)O)P(=O)(O)O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9592238605904847,0.3337297884817505,0.3878590196597393,0.47480231021423186,0.33333333333333925,0.38589488063172045,0.0488562634816841,0.22227067055363944,0.18269170929639172,0.21265249652081689
6,CC(C)(C)OOC(C)(C)CCC(C)(C)OOC(C)(C)C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.9717451318170144,0.30879485361985215,0.4877908339844917,0.6292775098328809,0.33333333333333187,0.02477855278073432,0.009938493268457865,0.32871867358101414,0.4351094681552842,0.06041719164623156
7,O=S(=O)(Cl)c1ccccc1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9608943579697226,0.2946702736359511,0.22155315709717452,0.3136748601480956,0.3333333333333328,0.10827989876663494,0.08011751379178504,0.18436999343293073,0.15874438345593272,0.1905187481291944
8,O=C(O)Cc1cc(I)c(Oc2ccc(O)c(I)c2)c(I)c1,0.0,,0.0,,1.0,,,1.0,0.0,1.0,0.0,1.0,0.24965173298776328,0.3472082494060826,0.29676241406290704,0.3450044524291368,0.3333333333333295,0.03758015309496922,0.05261586760294892,0.7474787461629904,0.42587406494654173,0.4342598395044072
9,OC[C@H](O)[C@@H](O)[C@H](O)CO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.9840642194790055,0.2729513162521443,0.4882895900147528,0.672592972365101,0.33333333333333276,0.05575881693883028,0.053322212474368504,0.15417869057597036,0.16403420335312346,0.120396656695268
14,C=C(C)C(=O)OCCOC(=O)C(=C)C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9800461504523591,0.28690670649563715,0.3136271830929054,0.43788620563227604,0.3333333333333337,0.04058451778236699,0.02012996257586634,0.21231025124221845,0.24726485194727613,0.0967019729938319
15,Cl/C=C\C[N+]12CN3CN(CN(C3)C1)C2,0.0,0.0,0.0,,0.0,0.0,,1.0,0.0,0.0,0.0,,0.9681713766320303,0.16382110217325455,0.21108737667761568,0.45645974454726623,0.3555555555555578,0.027005086415999607,0.05891801838700666,0.23380562530203675,0.24416563981927486,0.13098605393774698
16,O=C([O-])Cc1cccc2ccccc12,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.9827144185071789,0.5742141908699373,0.38096515837673806,0.17975713806007623,0.3043478260869549,0.045713099733415315,0.2208486245213754,0.1958525948006951,0.21238938053097345,0.11739422686753583
17,CCCCCCCCCCOCC(O)CN,0.0,0.0,0.0,,0.0,,,,,0.0,,,0.9790925804032908,0.28198518635927955,0.5148459530415609,0.6949913230899861,0.3333333333333315,0.02363406898897227,0.015643402511312847,0.25415953162163263,0.3520032859116538,0.048305393996788556
18,CCN(CC)C(=O)c1cccnc1,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,,0.0,0.0,0.9840528872609428,0.3100094579378821,0.2959789115155931,0.3883331012161721,0.3333333333333336,0.029075186543594273,0.05110211291558661,0.187074084426441,0.22782320799571837,0.08340862958963295
19,COc1cc(O)cc(O)c1,0.0,0.0,,0.0,,,0.0,,0.0,0.0,0.0,0.0,0.9867069130908216,0.3431252843376284,0.33858709443575175,0.40209020145788177,0.3333333333333365,0.04291728731200136,0.038772328296880806,0.13899407858790208,0.14759219844914928,0.11960346712168503
20,CCOC(=O)c1cccnc1,,,,,,,,0.0,,0.0,,,0.9860779259711925,0.2972651131934506,0.2845573525625985,0.38925166495204244,0.3333333333333355,0.0351591666315567,0.01790683845808516,0.15290903149445362,0.170182841068917,0.10745155000961273
21,CCOc1ccc(S(=O)(=O)O)c2cccnc12,0.0,0.0,,0.0,1.0,1.0,0.0,,0.0,,0.0,0.0,0.9630956873600639,0.33513801754959166,0.2664822574850407,0.3215731129659048,0.3333333333333339,0.06844919539833799,0.05045833550440777,0.2817230129508381,0.2733405523816636,0.15801246063075736
22,O=C(O)[C@H](O)c1ccccc1,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.985392832496878,0.3180925058152774,0.32533218212014114,0.4153562007804572,0.3333333333333339,0.04498446733933241,0.02877961017132846,0.15415200079951757,0.16270241340253663,0.12270563095438934
